指标名称,Mysteel冶金焦国产价格指数：湿熄：现货价格指数：中国（日）
指标编码,ID00187989
2025-01-14 00:00:00,1582.8
2025-01-13 00:00:00,1582.8
2025-01-10 00:00:00,1582.8
2025-01-09 00:00:00,1582.8
2025-01-08 00:00:00,1617.5
2025-01-07 00:00:00,1643.2
2025-01-06 00:00:00,1643.2
2025-01-03 00:00:00,1643.2
2025-01-02 00:00:00,1643.2
2024-12-31 00:00:00,1645.3
2024-12-30 00:00:00,1645.3
2024-12-27 00:00:00,1645.3
2024-12-26 00:00:00,1660.4
2024-12-25 00:00:00,1660.4
2024-12-24 00:00:00,1660.4
2024-12-23 00:00:00,1660.4
2024-12-20 00:00:00,1660.4
2024-12-19 00:00:00,1660.4
2024-12-18 00:00:00,1660.4
2024-12-17 00:00:00,1660.4
2024-12-16 00:00:00,1660.4
2024-12-13 00:00:00,1660.4
2024-12-12 00:00:00,1660.4
2024-12-11 00:00:00,1660.4
2024-12-10 00:00:00,1660.4
2024-12-09 00:00:00,1660.4
2024-12-06 00:00:00,1695.0
2024-12-05 00:00:00,1695.0
2024-12-04 00:00:00,1695.0
2024-12-03 00:00:00,1695.0
2024-12-02 00:00:00,1695.0
2024-11-29 00:00:00,1700.8
2024-11-28 00:00:00,1700.8
2024-11-27 00:00:00,1700.8
2024-11-26 00:00:00,1700.8
2024-11-25 00:00:00,1701.3
2024-11-22 00:00:00,1701.3
2024-11-21 00:00:00,1701.3
2024-11-20 00:00:00,1702.8
2024-11-19 00:00:00,1702.8
2024-11-18 00:00:00,1702.8
2024-11-15 00:00:00,1747.7
2024-11-14 00:00:00,1747.7
2024-11-13 00:00:00,1747.7
2024-11-12 00:00:00,1747.7
2024-11-11 00:00:00,1747.7
2024-11-08 00:00:00,1749.8
2024-11-07 00:00:00,1791.2
2024-11-06 00:00:00,1791.2
2024-11-05 00:00:00,1791.2
2024-11-04 00:00:00,1791.2
2024-11-01 00:00:00,1789.4
2024-10-31 00:00:00,1788.9
2024-10-30 00:00:00,1788.9
2024-10-29 00:00:00,1788.9
2024-10-28 00:00:00,1788.9
2024-10-25 00:00:00,1788.9
2024-10-24 00:00:00,1788.9
2024-10-23 00:00:00,1788.9
2024-10-22 00:00:00,1834.6
2024-10-21 00:00:00,1833.1
2024-10-18 00:00:00,1832.6
2024-10-17 00:00:00,1832.6
2024-10-16 00:00:00,1832.6
2024-10-15 00:00:00,1832.4
2024-10-14 00:00:00,1785.0
