指标名称,煤炭：进口：蒙古产：通关量：甘其毛都口岸（日）
指标编码,RE00024806
2025-04-17 00:00:00,131625.0
2025-04-16 00:00:00,147960.0
2025-04-15 00:00:00,152955.0
2025-04-14 00:00:00,165780.0
2025-04-12 00:00:00,138105.0
2025-04-11 00:00:00,73305.0
2025-04-10 00:00:00,125550.0
2025-04-09 00:00:00,141210.0
2025-04-08 00:00:00,132435.0
2025-04-07 00:00:00,141615.0
2025-04-05 00:00:00,181035.0
2025-04-04 00:00:00,0.0
2025-04-03 00:00:00,117045.0
2025-04-02 00:00:00,144180.0
2025-04-01 00:00:00,119610.0
2025-03-31 00:00:00,118800.0
2025-03-29 00:00:00,127980.0
2025-03-28 00:00:00,94230.0
2025-03-27 00:00:00,91530.0
2025-03-26 00:00:00,125550.0
2025-03-25 00:00:00,124470.0
2025-03-24 00:00:00,133110.0
2025-03-22 00:00:00,135675.0
2025-03-21 00:00:00,118665.0
2025-03-20 00:00:00,92475.0
2025-03-19 00:00:00,129465.0
2025-03-18 00:00:00,107730.0
2025-03-17 00:00:00,118800.0
2025-03-15 00:00:00,133920.0
2025-03-14 00:00:00,117315.0
2025-03-13 00:00:00,71820.0
2025-03-12 00:00:00,108810.0
2025-03-11 00:00:00,112995.0
2025-03-10 00:00:00,136350.0
2025-03-07 00:00:00,74925.0
2025-03-06 00:00:00,79380.0
2025-03-05 00:00:00,106515.0
2025-03-04 00:00:00,115425.0
2025-03-03 00:00:00,79785.0
2025-02-28 00:00:00,27540.0
2025-02-27 00:00:00,74520.0
2025-02-26 00:00:00,86130.0
2025-02-25 00:00:00,127575.0
2025-02-24 00:00:00,138240.0
2025-02-22 00:00:00,88020.0
2025-02-21 00:00:00,129600.0
2025-02-20 00:00:00,162945.0
2025-02-19 00:00:00,137565.0
2025-02-18 00:00:00,133515.0
2025-02-17 00:00:00,118530.0
2025-02-15 00:00:00,115155.0
2025-02-14 00:00:00,96255.0
2025-02-13 00:00:00,131490.0
2025-02-12 00:00:00,133650.0
2025-02-11 00:00:00,155655.0
2025-02-10 00:00:00,151740.0
2025-02-08 00:00:00,139725.0
2025-02-07 00:00:00,106110.0
2025-02-06 00:00:00,103950.0
2025-02-05 00:00:00,133650.0
2025-02-04 00:00:00,107190.0
2025-02-03 00:00:00,97200.0
2025-02-01 00:00:00,40905.0
2025-01-28 00:00:00,86805.0
2025-01-27 00:00:00,82485.0
2025-01-25 00:00:00,65475.0
2025-01-24 00:00:00,144315.0
2025-01-23 00:00:00,139320.0
2025-01-22 00:00:00,150930.0
2025-01-21 00:00:00,163215.0
2025-01-20 00:00:00,160515.0
2025-01-19 00:00:00,17955.0
2025-01-18 00:00:00,135270.0
2025-01-17 00:00:00,130815.0
2025-01-16 00:00:00,137565.0
2025-01-15 00:00:00,136215.0
2025-01-14 00:00:00,159300.0
2025-01-13 00:00:00,153495.0
2025-01-11 00:00:00,106920.0
2025-01-10 00:00:00,106110.0
2025-01-09 00:00:00,140400.0
2025-01-08 00:00:00,145935.0
2025-01-07 00:00:00,120960.0
2025-01-06 00:00:00,142695.0
2025-01-04 00:00:00,127440.0
2025-01-03 00:00:00,118530.0
2025-01-02 00:00:00,118800.0
2024-12-31 00:00:00,55350.0
2024-12-30 00:00:00,55215.0
2024-12-28 00:00:00,46845.0
2024-12-27 00:00:00,55755.0
2024-12-26 00:00:00,47520.0
2024-12-25 00:00:00,51840.0
2024-12-24 00:00:00,59805.0
2024-12-23 00:00:00,67905.0
2024-12-21 00:00:00,65610.0
2024-12-20 00:00:00,66015.0
2024-12-19 00:00:00,58995.0
2024-12-18 00:00:00,61830.0
2024-12-17 00:00:00,85185.0
2024-12-16 00:00:00,69930.0
2024-12-14 00:00:00,88560.0
2024-12-13 00:00:00,134190.0
2024-12-12 00:00:00,93420.0
2024-12-11 00:00:00,105435.0
2024-12-10 00:00:00,82485.0
2024-12-09 00:00:00,105435.0
2024-12-07 00:00:00,79785.0
2024-12-06 00:00:00,99495.0
2024-12-05 00:00:00,136755.0
2024-12-04 00:00:00,137025.0
2024-12-03 00:00:00,127035.0
2024-12-02 00:00:00,121500.0
2024-11-30 00:00:00,163890.0
2024-11-29 00:00:00,152010.0
2024-11-28 00:00:00,165105.0
2024-11-27 00:00:00,161865.0
2024-11-26 00:00:00,0.0
2024-11-25 00:00:00,132165.0
2024-11-23 00:00:00,167400.0
2024-11-22 00:00:00,156600.0
2024-11-21 00:00:00,159705.0
2024-11-20 00:00:00,171180.0
2024-11-19 00:00:00,144720.0
2024-11-18 00:00:00,152550.0
2024-11-16 00:00:00,172260.0
2024-11-15 00:00:00,181980.0
