指标名称,美国：非农就业人员：季调人数变动（月）
指标编码,GM0000033031
1988-12-31 00:00:00,290.0
1988-11-30 00:00:00,339.0
1988-10-31 00:00:00,268.0
1988-09-30 00:00:00,339.0
1988-08-31 00:00:00,124.0
1988-07-31 00:00:00,222.0
1988-06-30 00:00:00,363.0
1988-05-31 00:00:00,229.0
1988-04-30 00:00:00,245.0
1988-03-31 00:00:00,276.0
1988-02-29 00:00:00,453.0
1988-01-31 00:00:00,94.0
1987-12-31 00:00:00,294.0
1987-11-30 00:00:00,232.0
1987-10-31 00:00:00,492.0
1987-09-30 00:00:00,228.0
1987-08-31 00:00:00,171.0
1987-07-31 00:00:00,347.0
1987-06-30 00:00:00,172.0
1987-05-31 00:00:00,226.0
1987-04-30 00:00:00,338.0
1987-03-31 00:00:00,249.0
1987-02-28 00:00:00,232.0
1987-01-31 00:00:00,172.0
1986-12-31 00:00:00,205.0
1986-11-30 00:00:00,186.0
1986-10-31 00:00:00,186.0
1986-09-30 00:00:00,347.0
1986-08-31 00:00:00,114.0
1986-07-31 00:00:00,318.0
1986-06-30 00:00:00,-94.0
1986-05-31 00:00:00,127.0
1986-04-30 00:00:00,187.0
1986-03-31 00:00:00,94.0
1986-02-28 00:00:00,107.0
1986-01-31 00:00:00,125.0
1985-12-31 00:00:00,167.0
1985-11-30 00:00:00,209.0
1985-10-31 00:00:00,188.0
1985-09-30 00:00:00,203.0
1985-08-31 00:00:00,193.0
1985-07-31 00:00:00,190.0
1985-06-30 00:00:00,146.0
1985-05-31 00:00:00,274.0
1985-04-30 00:00:00,196.0
1985-03-31 00:00:00,346.0
1985-02-28 00:00:00,124.0
1985-01-31 00:00:00,266.0
1984-12-31 00:00:00,128.0
1984-11-30 00:00:00,349.0
1984-10-31 00:00:00,286.0
1984-09-30 00:00:00,310.0
1984-08-31 00:00:00,242.0
1984-07-31 00:00:00,313.0
1984-06-30 00:00:00,379.0
1984-05-31 00:00:00,308.0
1984-04-30 00:00:00,363.0
1984-03-31 00:00:00,275.0
1984-02-29 00:00:00,481.0
1984-01-31 00:00:00,446.0
1983-12-31 00:00:00,356.0
1983-11-30 00:00:00,353.0
1983-10-31 00:00:00,271.0
1983-09-30 00:00:00,1115.0
1983-08-31 00:00:00,-308.0
1983-07-31 00:00:00,418.0
1983-06-30 00:00:00,379.0
1983-05-31 00:00:00,277.0
1983-04-30 00:00:00,276.0
1983-03-31 00:00:00,172.0
1983-02-28 00:00:00,-75.0
1983-01-31 00:00:00,224.0
1982-12-31 00:00:00,-14.0
1982-11-30 00:00:00,-123.0
1982-10-31 00:00:00,-277.0
1982-09-30 00:00:00,-181.0
1982-08-31 00:00:00,-158.0
1982-07-31 00:00:00,-342.0
1982-06-30 00:00:00,-243.0
1982-05-31 00:00:00,-45.0
1982-04-30 00:00:00,-280.0
1982-03-31 00:00:00,-130.0
1982-02-28 00:00:00,-5.0
1982-01-31 00:00:00,-326.0
1981-12-31 00:00:00,-278.0
1981-11-30 00:00:00,-209.0
1981-10-31 00:00:00,-99.0
1981-09-30 00:00:00,-87.0
1981-08-31 00:00:00,-36.0
1981-07-31 00:00:00,112.0
1981-06-30 00:00:00,197.0
1981-05-31 00:00:00,10.0
1981-04-30 00:00:00,73.0
1981-03-31 00:00:00,105.0
1981-02-28 00:00:00,68.0
1981-01-31 00:00:00,94.0
1980-12-31 00:00:00,195.0
1980-11-30 00:00:00,257.0
1980-10-31 00:00:00,281.0
1980-09-30 00:00:00,113.0
1980-08-31 00:00:00,260.0
1980-07-31 00:00:00,-262.0
1980-06-30 00:00:00,-320.0
1980-05-31 00:00:00,-431.0
1980-04-30 00:00:00,-144.0
1980-03-31 00:00:00,112.0
1980-02-29 00:00:00,80.0
1980-01-31 00:00:00,129.0
1979-12-31 00:00:00,97.0
1979-11-30 00:00:00,94.0
1979-10-31 00:00:00,157.0
1979-09-30 00:00:00,28.0
1979-08-31 00:00:00,82.0
1979-07-31 00:00:00,106.0
1979-06-30 00:00:00,318.0
1979-05-31 00:00:00,373.0
1979-04-30 00:00:00,-62.0
1979-03-31 00:00:00,426.0
1979-02-28 00:00:00,244.0
1979-01-31 00:00:00,137.0
1978-12-31 00:00:00,282.0
1978-11-30 00:00:00,437.0
1978-10-31 00:00:00,336.0
1978-09-30 00:00:00,137.0
1978-08-31 00:00:00,276.0
1978-07-31 00:00:00,254.0
1978-06-30 00:00:00,442.0
1978-05-31 00:00:00,346.0
1978-04-30 00:00:00,702.0
1978-03-31 00:00:00,513.0
1978-02-28 00:00:00,353.0
1978-01-31 00:00:00,187.0
1977-12-31 00:00:00,235.0
1977-11-30 00:00:00,379.0
1977-10-31 00:00:00,262.0
1977-09-30 00:00:00,458.0
1977-08-31 00:00:00,238.0
1977-07-31 00:00:00,348.0
1977-06-30 00:00:00,399.0
1977-05-31 00:00:00,360.0
1977-04-30 00:00:00,338.0
1977-03-31 00:00:00,403.0
1977-02-28 00:00:00,296.0
1977-01-31 00:00:00,244.0
1976-12-31 00:00:00,211.0
1976-11-30 00:00:00,332.0
1976-10-31 00:00:00,13.0
1976-09-30 00:00:00,188.0
1976-08-31 00:00:00,157.0
1976-07-31 00:00:00,171.0
1976-06-30 00:00:00,65.0
1976-05-31 00:00:00,19.0
1976-04-30 00:00:00,243.0
1976-03-31 00:00:00,232.0
1976-02-29 00:00:00,311.0
1976-01-31 00:00:00,488.0
1975-12-31 00:00:00,338.0
1975-11-30 00:00:00,145.0
1975-10-31 00:00:00,305.0
1975-09-30 00:00:00,75.0
1975-08-31 00:00:00,386.0
1975-07-31 00:00:00,249.0
1975-06-30 00:00:00,-103.0
1975-05-31 00:00:00,162.0
1975-04-30 00:00:00,-188.0
1975-03-31 00:00:00,-270.0
1975-02-28 00:00:00,-378.0
1975-01-31 00:00:00,-360.0
