指标名称,欧元区20国：消费者：信心指数（月）
指标编码,GM0000039261
2004-01-31 00:00:00,-12.8
2003-12-31 00:00:00,-12.6
2003-11-30 00:00:00,-12.2
2003-10-31 00:00:00,-13.1
2003-09-30 00:00:00,-13.3
2003-08-31 00:00:00,-13.6
2003-07-31 00:00:00,-13.2
2003-06-30 00:00:00,-13.6
2003-05-31 00:00:00,-14.5
2003-04-30 00:00:00,-15.1
2003-03-31 00:00:00,-16.2
2003-02-28 00:00:00,-15.2
2003-01-31 00:00:00,-14.8
2002-12-31 00:00:00,-14.4
2002-11-30 00:00:00,-12.9
2002-10-31 00:00:00,-11.6
2002-09-30 00:00:00,-10.7
2002-08-31 00:00:00,-10.7
2002-07-31 00:00:00,-9.6
2002-06-30 00:00:00,-9.7
2002-05-31 00:00:00,-8.4
2002-04-30 00:00:00,-8.8
2002-03-31 00:00:00,-7.0
2002-02-28 00:00:00,-7.0
2002-01-31 00:00:00,-6.9
2001-12-31 00:00:00,-7.4
2001-11-30 00:00:00,-8.4
2001-10-31 00:00:00,-8.0
2001-09-30 00:00:00,-7.8
2001-08-31 00:00:00,-7.2
2001-07-31 00:00:00,-6.6
2001-06-30 00:00:00,-6.4
2001-05-31 00:00:00,-5.4
2001-04-30 00:00:00,-4.7
2001-03-31 00:00:00,-3.6
2001-02-28 00:00:00,-3.6
2001-01-31 00:00:00,-2.6
2000-12-31 00:00:00,-2.7
2000-11-30 00:00:00,-3.0
2000-10-31 00:00:00,-4.0
2000-09-30 00:00:00,-4.9
2000-08-31 00:00:00,-2.0
2000-07-31 00:00:00,-2.3
2000-06-30 00:00:00,-3.2
2000-05-31 00:00:00,-1.9
2000-04-30 00:00:00,-2.3
2000-03-31 00:00:00,-1.8
2000-02-29 00:00:00,-1.9
2000-01-31 00:00:00,-1.7
1999-12-31 00:00:00,-2.6
1999-11-30 00:00:00,-2.7
1999-10-31 00:00:00,-3.0
1999-09-30 00:00:00,-4.6
1999-08-31 00:00:00,-4.9
1999-07-31 00:00:00,-5.4
1999-06-30 00:00:00,-5.9
1999-05-31 00:00:00,-6.5
1999-04-30 00:00:00,-6.2
1999-03-31 00:00:00,-5.1
1999-02-28 00:00:00,-3.7
1999-01-31 00:00:00,-3.6
1998-12-31 00:00:00,-4.0
1998-11-30 00:00:00,-3.4
1998-10-31 00:00:00,-4.0
1998-09-30 00:00:00,-4.8
1998-08-31 00:00:00,-4.9
1998-07-31 00:00:00,-4.4
1998-06-30 00:00:00,-6.3
1998-05-31 00:00:00,-6.1
1998-04-30 00:00:00,-7.1
1998-03-31 00:00:00,-6.4
1998-02-28 00:00:00,-7.7
1998-01-31 00:00:00,-8.3
1997-12-31 00:00:00,-8.3
1997-11-30 00:00:00,-7.7
1997-10-31 00:00:00,-8.3
1997-09-30 00:00:00,-7.9
1997-08-31 00:00:00,-8.9
1997-07-31 00:00:00,-10.1
1997-06-30 00:00:00,-10.6
1997-05-31 00:00:00,-11.4
1997-04-30 00:00:00,-12.1
1997-03-31 00:00:00,-12.3
1997-02-28 00:00:00,-12.3
1997-01-31 00:00:00,-11.6
1996-12-31 00:00:00,-12.8
