指标名称,纳斯达克指数：收盘价（日）
指标编码,GM0000000319
2025-01-24 00:00:00,19954.3
2025-01-23 00:00:00,20053.68
2025-01-22 00:00:00,20009.34
2025-01-21 00:00:00,19756.78
2025-01-20 00:00:00,19630.2
2025-01-17 00:00:00,19630.2
2025-01-16 00:00:00,19338.29
2025-01-15 00:00:00,19511.23
2025-01-14 00:00:00,19044.39
2025-01-13 00:00:00,19088.1
2025-01-10 00:00:00,19161.63
2025-01-09 00:00:00,19478.88
2025-01-08 00:00:00,19478.88
2025-01-07 00:00:00,19489.68
2025-01-06 00:00:00,19864.98
2025-01-03 00:00:00,19621.68
2025-01-02 00:00:00,19280.79
2025-01-01 00:00:00,19310.79
2024-12-31 00:00:00,19310.79
2024-12-30 00:00:00,19486.78
2024-12-27 00:00:00,19722.03
2024-12-26 00:00:00,20020.36
2024-12-25 00:00:00,20031.13
2024-12-24 00:00:00,20031.13
2024-12-23 00:00:00,19764.89
2024-12-20 00:00:00,19572.6
2024-12-19 00:00:00,19372.77
2024-12-18 00:00:00,19392.69
2024-12-17 00:00:00,20109.06
2024-12-16 00:00:00,20173.89
2024-12-13 00:00:00,19926.72
2024-12-12 00:00:00,19902.84
2024-12-11 00:00:00,20034.89
2024-12-10 00:00:00,19687.24
2024-12-09 00:00:00,19736.69
2024-12-06 00:00:00,19859.77
2024-12-05 00:00:00,19700.26
2024-12-04 00:00:00,19735.12
2024-12-03 00:00:00,19480.91
2024-12-02 00:00:00,19403.95
2024-11-29 00:00:00,19218.17
2024-11-28 00:00:00,19060.48
2024-11-27 00:00:00,19060.48
2024-11-26 00:00:00,19174.3
2024-11-25 00:00:00,19054.84
2024-11-22 00:00:00,19003.65
2024-11-21 00:00:00,18972.42
2024-11-20 00:00:00,18966.14
2024-11-19 00:00:00,18987.47
2024-11-18 00:00:00,18791.81
2024-11-15 00:00:00,18680.12
2024-11-14 00:00:00,19107.65
2024-11-13 00:00:00,19230.73
2024-11-12 00:00:00,19281.4
2024-11-11 00:00:00,19298.76
2024-11-08 00:00:00,19286.78
2024-11-07 00:00:00,19269.46
2024-11-06 00:00:00,18983.47
2024-11-05 00:00:00,18439.17
2024-11-04 00:00:00,18179.98
2024-11-01 00:00:00,18239.92
2024-10-31 00:00:00,18095.15
2024-10-30 00:00:00,18607.93
2024-10-29 00:00:00,18712.75
2024-10-28 00:00:00,18567.19
2024-10-25 00:00:00,18518.61
2024-10-24 00:00:00,18415.49
2024-10-23 00:00:00,18276.65
2024-10-22 00:00:00,18573.13
2024-10-21 00:00:00,18540.01
2024-10-18 00:00:00,18489.55
2024-10-17 00:00:00,18373.61
2024-10-16 00:00:00,18367.08
2024-10-15 00:00:00,18315.59
2024-10-14 00:00:00,18502.69
2024-10-11 00:00:00,18342.94
2024-10-10 00:00:00,18282.05
2024-10-09 00:00:00,18291.62
2024-10-08 00:00:00,18182.92
2024-10-07 00:00:00,17923.9
2024-10-04 00:00:00,18137.85
2024-10-03 00:00:00,17918.48
2024-10-02 00:00:00,17925.12
2024-10-01 00:00:00,17910.36
2024-09-30 00:00:00,18189.17
2024-09-27 00:00:00,18119.59
2024-09-26 00:00:00,18190.29
2024-09-25 00:00:00,18082.21
2024-09-24 00:00:00,18074.52
2024-09-23 00:00:00,17974.27
2024-09-20 00:00:00,17948.32
2024-09-19 00:00:00,18013.98
2024-09-18 00:00:00,17573.3
2024-09-17 00:00:00,17628.06
2024-09-16 00:00:00,17592.13
2024-09-13 00:00:00,17683.98
2024-09-12 00:00:00,17569.68
2024-09-11 00:00:00,17395.53
2024-09-10 00:00:00,17025.88
2024-09-09 00:00:00,16884.6
2024-09-06 00:00:00,16690.83
2024-09-05 00:00:00,17127.66
2024-09-04 00:00:00,17084.3
2024-09-03 00:00:00,17136.3
2024-09-02 00:00:00,17713.62
2024-08-30 00:00:00,17713.62
2024-08-29 00:00:00,17516.43
2024-08-28 00:00:00,17556.03
2024-08-27 00:00:00,17754.82
2024-08-26 00:00:00,17725.77
2024-08-23 00:00:00,17877.79
2024-08-22 00:00:00,17619.35
2024-08-21 00:00:00,17918.99
2024-08-20 00:00:00,17816.94
2024-08-19 00:00:00,17876.77
2024-08-16 00:00:00,17631.72
2024-08-15 00:00:00,17594.5
2024-08-14 00:00:00,17192.6
2024-08-13 00:00:00,17187.61
2024-08-12 00:00:00,16780.61
2024-08-09 00:00:00,16745.3
2024-08-08 00:00:00,16660.02
2024-08-07 00:00:00,16195.81
2024-08-06 00:00:00,16366.85
2024-08-05 00:00:00,16200.08
2024-08-02 00:00:00,16776.16
2024-08-01 00:00:00,17194.15
2024-07-31 00:00:00,17599.4
2024-07-30 00:00:00,17147.42
2024-07-29 00:00:00,17370.2
2024-07-26 00:00:00,17357.88
2024-07-25 00:00:00,17181.72
2024-07-24 00:00:00,17342.41
2024-07-23 00:00:00,17997.35
2024-07-22 00:00:00,18007.57
2024-07-19 00:00:00,17726.94
2024-07-18 00:00:00,17871.22
2024-07-17 00:00:00,17996.92
2024-07-16 00:00:00,18509.34
2024-07-15 00:00:00,18472.57
2024-07-12 00:00:00,18398.45
2024-07-11 00:00:00,18283.41
2024-07-10 00:00:00,18647.45
2024-07-09 00:00:00,18429.29
2024-07-08 00:00:00,18403.74
2024-07-05 00:00:00,18352.76
2024-07-04 00:00:00,18188.3
2024-07-03 00:00:00,18188.3
2024-07-02 00:00:00,18028.76
2024-07-01 00:00:00,17879.3
2024-06-28 00:00:00,17732.6
2024-06-27 00:00:00,17858.68
2024-06-26 00:00:00,17805.16
2024-06-25 00:00:00,17717.65
2024-06-24 00:00:00,17496.82
2024-06-21 00:00:00,17689.36
2024-06-20 00:00:00,17721.59
2024-06-19 00:00:00,17862.23
2024-06-18 00:00:00,17862.23
2024-06-17 00:00:00,17857.02
2024-06-14 00:00:00,17688.88
2024-06-13 00:00:00,17667.56
2024-06-12 00:00:00,17608.44
2024-06-11 00:00:00,17343.55
2024-06-10 00:00:00,17192.53
2024-06-07 00:00:00,17133.13
2024-06-06 00:00:00,17173.12
2024-06-05 00:00:00,17187.9
2024-06-04 00:00:00,16857.05
2024-06-03 00:00:00,16828.67
2024-05-31 00:00:00,16735.02
2024-05-30 00:00:00,16737.08
2024-05-29 00:00:00,16920.58
2024-05-28 00:00:00,17019.88
2024-05-27 00:00:00,16920.79
2024-05-24 00:00:00,16920.79
2024-05-23 00:00:00,16736.03
2024-05-22 00:00:00,16801.54
2024-05-21 00:00:00,16832.62
2024-05-20 00:00:00,16794.87
2024-05-17 00:00:00,16685.97
2024-05-16 00:00:00,16698.32
2024-05-15 00:00:00,16742.39
2024-05-14 00:00:00,16511.18
2024-05-13 00:00:00,16388.24
2024-05-10 00:00:00,16340.87
2024-05-09 00:00:00,16346.26
2024-05-08 00:00:00,16302.76
2024-05-07 00:00:00,16332.56
2024-05-06 00:00:00,16349.25
2024-05-03 00:00:00,16156.33
2024-05-02 00:00:00,15840.96
2024-05-01 00:00:00,15605.48
2024-04-30 00:00:00,15657.82
2024-04-29 00:00:00,15983.08
2024-04-26 00:00:00,15927.9
2024-04-25 00:00:00,15611.76
2024-04-24 00:00:00,15712.75
2024-04-23 00:00:00,15696.64
2024-04-22 00:00:00,15451.31
2024-04-19 00:00:00,15282.01
2024-04-18 00:00:00,15601.5
2024-04-17 00:00:00,15683.37
