指标名称,欧元区：制造业PMI：终值（月）
指标编码,GM0000039251
2008-10-31 00:00:00,41.1
2008-09-30 00:00:00,45.0
2008-08-31 00:00:00,47.6
2008-07-31 00:00:00,47.4
2008-06-30 00:00:00,49.2
2008-05-31 00:00:00,50.6
2008-04-30 00:00:00,50.7
2008-03-31 00:00:00,52.0
2008-02-29 00:00:00,52.3
2008-01-31 00:00:00,52.8
2007-12-31 00:00:00,52.6
2007-11-30 00:00:00,52.6
2007-10-31 00:00:00,51.5
2007-09-30 00:00:00,53.2
2007-08-31 00:00:00,54.3
2007-07-31 00:00:00,54.9
2007-06-30 00:00:00,55.6
2007-05-31 00:00:00,55.0
2007-04-30 00:00:00,55.4
2007-03-31 00:00:00,55.4
2007-02-28 00:00:00,55.6
2007-01-31 00:00:00,55.5
2006-12-31 00:00:00,56.5
2006-11-30 00:00:00,56.6
2006-10-31 00:00:00,57.0
2006-09-30 00:00:00,56.6
2006-08-31 00:00:00,56.5
2006-07-31 00:00:00,57.4
2006-06-30 00:00:00,57.7
2006-05-31 00:00:00,57.0
2006-04-30 00:00:00,56.7
2006-03-31 00:00:00,56.1
2006-02-28 00:00:00,54.5
2006-01-31 00:00:00,53.5
2005-12-31 00:00:00,53.6
2005-11-30 00:00:00,52.8
2005-10-31 00:00:00,52.7
2005-09-30 00:00:00,51.7
2005-08-31 00:00:00,50.4
2005-07-31 00:00:00,50.8
2005-06-30 00:00:00,49.9
2005-05-31 00:00:00,48.7
2005-04-30 00:00:00,49.2
2005-03-31 00:00:00,50.4
2005-02-28 00:00:00,51.9
2005-01-31 00:00:00,51.9
2004-12-31 00:00:00,51.4
2004-11-30 00:00:00,50.4
2004-10-31 00:00:00,52.4
2004-09-30 00:00:00,53.1
2004-08-31 00:00:00,53.9
2004-07-31 00:00:00,54.7
2004-06-30 00:00:00,54.4
2004-05-31 00:00:00,54.7
2004-04-30 00:00:00,54.0
2004-03-31 00:00:00,53.3
2004-02-29 00:00:00,52.9
2004-01-31 00:00:00,52.5
